"Pick_number","Team","Round","Year","stuart","johnson","hill","otc","pff","CBS"
76,"NE",3,2023,7,210,61.18,719,0.257,55.22
77,"MIA",3,2023,6.9,205,59.85,713,0.254,53.87
78,"GB",3,2023,6.9,200,58.54,706,0.251,52.56
79,"IND",3,2023,6.8,195,57.27,699,0.248,51.28
80,"PIT",3,2023,6.7,190,56.02,692,0.246,50.03
81,"DET",3,2023,6.6,185,54.8,686,0.243,48.81
82,"TB",3,2023,6.5,180,53.6,679,0.24,47.62
83,"SEA",3,2023,6.5,175,52.44,673,0.237,46.46
84,"MIA",3,2023,6.4,170,51.29,667,0.234,45.32
85,"LAC",3,2023,6.3,165,50.18,660,0.231,44.22
86,"BAL",3,2023,6.2,160,49.08,654,0.229,43.14
87,"MIN",3,2023,6.2,155,48.01,648,0.226,42.09
88,"JAX",3,2023,6.1,150,46.97,642,0.223,41.06
89,"NYG",3,2023,6,145,45.94,636,0.221,40.06
90,"DAL",3,2023,5.9,140,44.94,630,0.219,39.08
91,"BUF",3,2023,5.9,136,43.96,625,0.217,38.13
92,"CIN",3,2023,5.8,132,43.01,619,0.214,37.2
93,"CAR",3,2023,5.7,128,42.07,613,0.212,36.29
94,"PHI",3,2023,5.7,124,41.15,607,0.21,35.41
95,"KC",3,2023,5.6,120,40.26,602,0.207,34.54
96,"ARI",3,2023,5.5,116,39.38,596,0.205,33.7
97,"WAS",3,2023,5.5,112,38.52,591,0.203,32.88
98,"CLE",3,2023,5.4,108,37.68,586,0.201,32.08
99,"SF",3,2023,5.3,104,36.86,580,0.199,31.29
100,"NYG",3,2023,5.3,100,36.06,575,0.196,30.53
101,"SF",3,2023,5.2,96,35.26,570,0.194,29.79
102,"SF",3,2023,5.1,92,34.49,564,0.192,29.06
103,"CHI",4,2023,5.1,88,33.73,559,0.19,28.35
104,"HOU",4,2023,5,86,32.98,554,0.187,27.66
105,"ARI",4,2023,5,84,32.26,549,0.185,26.98
106,"IND",4,2023,4.9,82,31.55,544,0.183,26.33
107,"NE",4,2023,4.8,80,30.85,539,0.181,25.68
108,"DEN",4,2023,4.8,78,30.17,534,0.179,25.06
109,"LV",4,2023,4.7,76,29.51,530,0.177,24.45
110,"ATL",4,2023,4.7,74,28.86,525,0.174,23.85
111,"CLE",4,2023,4.6,72,28.22,520,0.172,23.27
112,"NYJ",4,2023,4.6,70,27.6,515,0.17,22.7
113,"ATL",4,2023,4.5,68,27,511,0.168,22.15
114,"CAR",4,2023,4.4,66,26.4,506,0.166,21.61
115,"NO",4,2023,4.4,64,25.82,501,0.163,21.08
116,"GB",4,2023,4.3,62,25.25,497,0.161,20.57
117,"NE",4,2023,4.3,60,24.7,492,0.16,20.06
118,"WAS",4,2023,4.2,58,24.15,488,0.158,19.57
119,"MIN",4,2023,4.2,56,23.62,483,0.157,19.1
120,"PIT",4,2023,4.1,54,23.41,479,0.155,18.63
121,"JAX",4,2023,4.1,52,22.59,475,0.154,18.18
122,"KC",4,2023,4,50,22.09,470,0.153,17.82
123,"SEA",4,2023,4,49,21.61,466,0.151,17.47
124,"BAL",4,2023,3.9,48,21.13,462,0.15,17.13
125,"LAC",4,2023,3.9,47,20.67,457,0.149,16.79
126,"CLE",4,2023,3.8,46,20.21,453,0.148,16.46
127,"JAX",4,2023,3.8,45,19.77,449,0.146,16.14
128,"NYG",4,2023,3.7,44,19.33,445,0.145,15.82
129,"DAL",4,2023,3.7,43,18.91,441,0.144,15.51
130,"BUF",4,2023,3.6,42,18.49,437,0.143,15.21
131,"CIN",4,2023,3.6,41,18.08,433,0.142,14.91
132,"CAR",4,2023,3.5,40,17.68,429,0.141,14.62
133,"CHI",4,2023,3.5,40,17.29,425,0.139,14.33
134,"KC",4,2023,3.4,39,16.91,421,0.138,14.05
135,"NE",4,2023,3.4,39,16.54,417,0.137,13.78
136,"LAR",4,2023,3.3,38,16.18,413,0.136,13.51
137,"CHI",5,2023,3.3,38,15.82,409,0.135,13.24
138,"HOU",5,2023,3.2,37,15.47,405,0.134,12.98
139,"BUF",5,2023,3.2,37,15.13,401,0.133,12.73
140,"IND",5,2023,3.1,36,14.8,398,0.132,12.48
141,"DEN",5,2023,3.1,36,14.47,394,0.13,12.23
142,"CLE",5,2023,3,35,14.15,390,0.129,11.99
143,"LV",5,2023,3,35,13.84,387,0.128,11.76
144,"CLE",5,2023,3,34,13.54,383,0.127,11.53
145,"NYJ",5,2023,2.9,34,13.24,379,0.126,11.3
146,"LV",5,2023,2.9,33,12.95,376,0.125,11.08
147,"CAR",5,2023,2.8,33,12.66,372,0.124,10.86
148,"NO",5,2023,2.8,32,12.38,368,0.122,10.65
149,"TEN",5,2023,2.7,32,12.11,365,0.121,10.44
150,"CHI",5,2023,2.7,31,11.85,361,0.12,10.24
151,"GB",5,2023,2.7,31,11.58,358,0.119,10.04
152,"WAS",5,2023,2.6,31,11.33,354,0.118,9.84
153,"SEA",5,2023,2.6,30,11.08,351,0.117,9.65
154,"DET",5,2023,2.5,30,10.84,348,0.116,9.46
155,"TB",5,2023,2.5,29,10.6,344,0.114,9.27
156,"SEA",5,2023,2.4,29,10.36,341,0.113,9.09
157,"SF",5,2023,2.4,29,10.14,337,0.112,8.91
158,"LAC",5,2023,2.4,28,9.91,334,0.111,8.74
159,"BAL",5,2023,2.3,28,9.69,331,0.11,8.56
160,"MIN",5,2023,2.3,27,9.48,327,0.109,8.4
161,"ATL",5,2023,2.2,27,9.27,324,0.108,8.23
162,"NYG",5,2023,2.2,27,9.07,321,0.107,8.07
163,"DAL",5,2023,2.2,26,8.87,318,0.106,7.91
164,"IND",5,2023,2.1,26,8.67,314,0.104,7.76
165,"CIN",5,2023,2.1,25,8.48,311,0.103,7.61
166,"SF",5,2023,2,25,8.3,308,0.102,7.46
167,"NO",5,2023,2,25,8.11,305,0.101,7.31
168,"KC",5,2023,2,24,7.93,302,0.1,7.17
169,"ARI",5,2023,1.9,24,7.76,299,0.099,7.03
170,"DAL",5,2023,1.9,23,7.59,295,0.098,6.89
171,"GB",5,2023,1.9,23,7.42,292,0.097,6.75
172,"LAR",5,2023,1.8,23,7.26,289,0.096,6.62
173,"SF",5,2023,1.8,22,7.1,286,0.095,6.49
174,"LV",5,2023,1.7,22,6.94,283,0.094,6.36
175,"TB",5,2023,1.7,21,6.79,280,0.092,6.24
176,"DAL",5,2023,1.7,21,6.64,277,0.091,6.12
177,"MIN",5,2023,1.6,21,6.49,274,0.09,6
178,"MIA",6,2023,1.6,20,6.35,271,0.089,5.88
179,"NYJ",6,2023,1.6,20,6.21,268,0.088,5.76
180,"ARI",6,2023,1.5,19,6.07,265,0.087,5.65
181,"TB",6,2023,1.5,19,5.94,262,0.086,5.54
182,"LAR",6,2023,1.5,19,5.81,260,0.085,5.43
183,"DET",6,2023,1.4,18,5.68,257,0.084,5.32
184,"NE",6,2023,1.4,18,5.56,254,0.083,5.22
185,"JAX",6,2023,1.4,17,5.43,251,0.082,5.12
186,"TEN",6,2023,1.3,17,5.31,248,0.081,5.02
187,"NE",6,2023,1.3,17,5.2,245,0.08,4.92
188,"HOU",6,2023,1.3,16,5.08,242,0.079,4.82
189,"LAR",6,2023,1.2,16,4.97,240,0.078,4.73
190,"CLE",6,2023,1.2,15,4.86,237,0.077,4.64
191,"LAR",6,2023,1.2,15,4.75,234,0.077,4.54
192,"NE",6,2023,1.1,15,4.65,231,0.076,4.46
193,"WAS",6,2023,1.1,14,4.55,229,0.075,4.37
194,"DET",6,2023,1.1,14,4.45,226,0.074,4.28
195,"DEN",6,2023,1,13,4.35,223,0.073,4.2
196,"TB",6,2023,1,13,4.25,221,0.072,4.12
197,"KC",6,2023,1,13,4.16,218,0.071,4.04
198,"SEA",6,2023,0.9,12,4.07,215,0.07,3.96
199,"BAL",6,2023,0.9,12,3.98,213,0.069,3.88
200,"LAC",6,2023,0.9,11,3.89,210,0.068,3.8
201,"HOU",6,2023,0.8,11,3.81,207,0.068,3.73
202,"JAX",6,2023,0.8,11,3.72,205,0.067,3.66
203,"HOU",6,2023,0.8,10,3.64,202,0.066,3.58
204,"LV",6,2023,0.7,10,3.56,199,0.065,3.51
205,"BUF",6,2023,0.7,9,3.48,197,0.065,3.44
206,"CIN",6,2023,0.7,9,3.4,194,0.064,3.38
207,"HOU",6,2023,0.6,9,3.33,192,0.063,3.31
208,"JAX",6,2023,0.6,8,3.26,189,0.063,3.25
209,"NYG",6,2023,0.6,8,3.18,187,0.062,3.18
210,"NE",6,2023,0.6,7,3.11,184,0.061,3.12
211,"LAR",6,2023,0.5,7,3.05,182,0.061,3.06
212,"DAL",6,2023,0.5,7,2.98,179,0.06,3
213,"ARI",6,2023,0.5,6,2.91,177,0.06,2.94
214,"LV",6,2023,0.4,6,2.85,174,0.06,2.88
215,"WAS",6,2023,0.4,5,2.79,172,0.059,2.83
216,"SF",6,2023,0.4,5,2.73,169,0.059,2.77
217,"KC",6,2023,0.3,5,2.67,167,0.058,2.72
218,"NYG",6,2023,0.3,4,2.61,165,0.058,2.66
219,"KC",6,2023,0.3,4,2.55,162,0.058,2.61
220,"CHI",7,2023,0.3,3,2.49,160,0.057,2.56
221,"PHI",7,2023,0.2,3,2.44,157,0.057,2.51
222,"LV",7,2023,0.2,3,2.38,155,0.056,2.46
223,"IND",7,2023,0.2,2,2.33,153,0.056,2.41
224,"SF",7,2023,0.1,2,2.28,150,0.056,2.36
225,"LAR",7,2023,0,0,2.23,148,0.055,2.32
226,"ATL",7,2023,0,0,2.18,146,0.055,2.27
227,"KC",7,2023,0,0,2.13,143,0.054,2.23
228,"JAX",7,2023,0,0,2.09,141,0.054,2.18
229,"NO",7,2023,0,0,2.04,139,0.054,2.14
230,"TEN",7,2023,0,0,2,136,0.053,2.1
231,"CLE",7,2023,0,0,1.95,134,0.053,2.06
232,"TB",7,2023,0,0,1.91,132,0.052,2.02
233,"LV",7,2023,0,0,1.87,129,0.052,1.98
234,"GB",7,2023,0,0,1.83,127,0.052,1.94
235,"WAS",7,2023,0,0,1.79,125,0.051,1.9
236,"PIT",7,2023,0,0,1.75,123,0.051,1.86
237,"GB",7,2023,0,0,1.71,121,0.051,1.83
238,"IND",7,2023,0,0,1.67,118,0.05,1.79
239,"HOU",7,2023,0,0,1.63,116,0.05,1.76
240,"MIA",7,2023,0,0,1.6,114,0.05,1.72
241,"LAC",7,2023,0,0,1.56,112,0.05,1.69
242,"NYG",7,2023,0,0,1.53,110,0.05,1.66
243,"PIT",7,2023,0,0,1.49,107,0.049,1.62
244,"GB",7,2023,0,0,1.46,105,0.049,1.59
245,"NYG",7,2023,0,0,1.43,103,0.049,1.56
246,"DAL",7,2023,0,0,1.4,101,0.049,1.53
247,"ATL",7,2023,0,0,1.37,99,0.049,1.5
248,"CIN",7,2023,0,0,1.34,97,0.049,1.47
249,"SF",7,2023,0,0,1.31,94,0.048,1.44
250,"PHI",7,2023,0,0,1.28,92,0.048,1.41
251,"KC",7,2023,0,0,1.25,90,0.048,1.39
252,"LAR",7,2023,0,0,1.22,88,0.048,1.36
253,"TB",7,2023,0,0,1.2,86,0.048,1.33
254,"NYG",7,2023,0,0,1.17,84,0.048,1.31
255,"SF",7,2023,0,0,1.14,82,0.047,1.28
256,"GB",7,2023,0,0,1.12,80,0.047,1.25
257,"KC",7,2023,0,0,1.1,78,0.047,NA
258,"NE",7,2023,0,0,1.08,76,0.047,NA
259,"GB",7,2023,0,0,1.06,74,0.047,NA
260,"NO",7,2023,0,0,1.04,72,0.046,NA
